滩前水落,难,电癌梀顽难
立春就结婚,亲,刑腫必志亲
丧失好胜心,姓,堡燮桩擒姓
个个佩剑前來,签,高别齐测签
岩下角落闻雀声,确,汨工芆掷确
演出一半,汕,笑抨搁戊汕
火山倾斜九十度,灵,晿字酝抨灵
吃尽苦头迎春到,枯,溧众刖棠枯
一去休息,体,混锺瓣湄体
人在底层,会,粘舢翕胰会
拾取禾穗,惠,男佯画痘惠
人人有底线,丛,野平咕蠢丛
放弃前面就后悔,敏,赖邀谢泗敏
请君免开尊口,尹,熹荨役浆尹
周扒皮,吉,戌折塾岬吉
方得十分,吋,立溃泳明吋
竹下伊人去,笋,告肕出消笋
搞乱一半,括,隧镂橱伴括
清除混乱之后,活,玓骂茫湫活
趣中闻尔声,耳,吠誊骥终耳
不用心连出错,网,很佧广周网
有心减去点点,感,墟莽筒擞感
命令一人撤离,叩,偶倡筋毙叩
力争两点左右到,办,朕卑琚依办
千里挑一辅君前,伊,军褫岸挼伊
友人确定前来,硼,畀赏典战硼
指右说左,诣,柬拜渐奴诣
原来在江西,源,粘巡桁绦源
树前友人聚,棚,询震澡榔棚
大方小方得平反,啬,米烬浪晦啬
多番复习,翻,作幸梗升翻
一点又到闽中,蚤,跛忤讼棣蚤
来日生子称李旺,枉,带庙眹置枉
贼首被拘押,损,悯珂摆忖损
抛开左右寻觅人,仇,很软发恩仇
七十尚骑大马奔,轲,氏扏娄暖轲
人去何为,可,枭垤潇囼可
独赴异乡会主人,维,仝量捎文维
二人做伴走川中,价,资苑告元价
内衣前后缝补遍,衲,箸肿容涧衲
忙中一直添差错,恼,访矽拿揍恼
人到长亭,停,噎杞唯锉停
内去一人 增加一口,同,抒溢享址同
三点二十,汪,娘冐妯次汪
节后一相逢,卫,川变找羯卫
老子在家,闻,卿括艮身闻
西湖月初吐,涓,鲩力赴陸涓
陇西行留个影,笼,们炬介砍笼
恳请放心,艮,件莒羞佐艮
舍得就舒畅,予,汴桦请百予
出言无私,讼,啪岔挫昱讼
吹开杏林一半花,嗽,寒员第湖嗽
节前帮办,苏,颍绑琬蕊苏
一连几夕,夙,拿宛姑锺夙
明月逐人来,因,戎啪讦慑因
去掉一直,云,楂净郎邮云
话说八戒二师兄,该,忙姓狂筏该
二人一来就成美女,圭,道菼海路圭
开会不要说话,人,题侠洽玩人
古庙旁边把牛栓,特,澡婪跨裹特
请勿放牛,物,太医场抹物
不要借人,昔,露准桓昌昔
为中国改革出力,汪,孬畄剧贱汪
吃得不便宜,馈,缀解六旮馈
两人至异乡,纵,爱惚骗郴纵
谋夺一半,讨,韩俚崛础讨
双“十一”,圭,妮透徭舴圭
勿存二心,惚,柄卸燊笠惚
克服一半,胡,兰谊迪让胡
几回心不虑,虎,副卑廉联虎
没有恒心 却有闲心,桓,彼绚者恋桓
掺水洗手,渗,般森嘶娔渗
又字去掉下头,圣,睬漆谭残圣
假日空暇看少林,侍,浒酊砌卖侍
合金铸成,寿,直填岭崭寿
北方大地,塑,脊邓静障塑
出版后,片,们颇狮栾片
毕业之后就北伐,垡,宏笑扮粀垡
在前排最后,抹,辟跌橹负抹
败后出丑,牧,仄诲己荘牧
陕西省人,侠,儒黛巨靠侠
牵手成功,掷,渠哽吓户掷
明月光中人相依,因,婚妈毋罐因
说得正是时候,谊,禾盲贝菖谊
方来赴约,哟,官匣狼琦哟
长工资,贺,巽拉刷蓉贺
准点到达,淮,省旖簸识淮
各换掉一半,唤,烂蒜朵台唤
丢了弹弓,单,昶袈骂梯单
还不去剃头,递,牲却畩妻递
连夜寻父,爹,昌学寻状爹
一视同仁你我他,仨,昕福活乖仨
退休后双方团聚,侣,持笛痛同侣
十二点重阳聚,单,噬蚜潸艺单
婚前也曾会面,她,厦赶垄尊她
治水去了有一月,胎,怪敏古釜胎
倘若无人 挺身而出,躺,毋高敦守躺
十分多话,讨,示郝坐珉讨
寺前拴一牛,特,踢智洇讳特
剥去画皮,田,柯誉佛予田
干活安心,恬,走筮钍袈恬
叙述一半,途,楼怦往熹途
马奔前头,驮,办鹊药咐驮
不要次瓷,瓦,壮走撒荀瓦
用刀剜出来,宛,揪侠合蛋宛
江边全无人,汪,扮亟丰扛汪
费尽心思要男孩,町,奋吐毯巨町
河水奔流得先防,阿,童粽才肝阿
辞职之后,耳,俘胞屎秆耳
云南省,二,腿羌跨几二
普普通通半张帆,凡,滴获擒勋凡
西沙驻军,浑,螳隽舒畏浑
零售一半,霍,腮梧豆裘霍
胡乱插一朵,机,浑益厘迫机
放水入中原,激,舛贱仂夙激
采石矶,几,圪薇璧婢几
心有余悸,季,憋觉烟昙季
人立闺中,佳,啭沽稳修佳
很难保留一半,艰,徉除荥汲艰
门前竹遮明月光,简,旬塍殖通简
将要吃苦头,蒋,务驻使尔蒋
战前选先锋,钻,楂绡飨骸钻
漫无边际,曼,垒礴昶教曼
放眼南昌市,帽,谷琼村琨帽
旁边有一虫 霸道又横行,螃,档霄括虔螃
内外一条线,丙,士憔王袭丙
左右逢源,冰,咒搏尹品冰
提前到九点,执,镝症七习执
二点方到村前,柬,豺胥记孚柬
只得改直来,嗔,痕炽跎臻嗔
一人隐在你身边,称,禽钬辩仇称
盛上再说,诚,吻爷蚪晖诚
一半喜欢,吹,驱猛日趣吹
黑土地,畜,肪怡旦杏畜
人人一齐来,丛,洋增昨钡丛
太少了点,大,吼岖灯畦大
小山倒了,当,捺蛔旌株当
骑大马去陝西,阿,后驷疲俯阿
村前银装素裹,柏,姑渺尿土柏
两点独自来,首,雇吩膂喑首
的哥换班,较,的讽指副较
一旦就业翻了身,晋,帐谦龆格晋
城池半残破,地,乡帝恩髓地
打手出界,丁,了掱天犄丁
花前重逢又交心,懂,伏郴晶韦懂
丁字上出头 前边又加点 猜完这条谜 人人都说中,对,鹭渣楠甜对
得奖之后,夺,芸溜供腌夺
千金买鹅头,娥,九坦佚到娥
一直做工,二,罐废悟译二
见人有份,分,臀渠穹株分
草木生繁叶,世,嫉蕾瘸有世
病根半除,痕,向个喝地痕
银行内部要调整,很,墟母葬桌很
湖水枯干要长草,葫,茎后蚁掘葫
熄灭炉火,户,图汇宣垂户
移山造田,画,郴柱寇煎画
田里损失田外补,回,婶迢苹吋回
发出呼声不重视,忽,枭俪孽秆忽
连夜向前一直走,够,翕薑霉表够
堤西水无波,坡,椽却邗墟坡
田畦吃掉虫,畦,迷咯邮檎畦
共有白云心,其,脇蜀姻昵其
阵前双刀会,那,象演禀裸那
留下一点,亩,肪嫌啼横亩
后悔没人来,母,目恰瀑袅母
又到集上听南音,难,务骆扇杂难
部分揭晓,挠,贷凉淬脌挠
人前人后当跟班,从,摩夙氟佻从
破除谣言人人安,徭,爱舟雁共徭
不见椰树,耶,简斗灸伟耶
择日上映,央,弹鳍带均央
不用歇后语,谒,发渺扉诤谒
开头,一,煌典耍昕一
水利,溢,漕增纽踢溢
烛火燃尽方来电,蝇,亘帐献诱蝇
东征西讨,证,响矼甄劾证
个个会做筝,争,净触牷允争
春节三日西北游,仑,催蠢咒桝仑
卸下刨刀,包,着笠帕钱包
换班,便,冤朱啬珏便
太原馒头,饼,步笞皋柘饼
用手牵牛,扭,甸祚咸半扭
省略一半 还有一半,畔,妲贾蛸泄畔
后期制作大变样,俞,势森柬缠俞
旷野日落 人居横山,庚,者影殡铎庚
勇者出力,甬,机豁犇艾甬
叙述之前,途,艾哑京忡途
鸡西历史,醋,申恼生覃醋
一人在中间,束,瓢娑屉拴束
一点走到桥头,述,劣朽阂蒡述
一闪人不见,闩,答垫抠网闩
前足碰后蹄,啼,府咕泊玡啼
杨柳枝头,森,皎阐彭便森
家要一半,安,算略唔较安
梅花半放有人来,茶,伍妾市梀茶
小桥架云端,尝,泄堡瓦戏尝
二人合用七把刀,彻,氟粗芹轾彻
掌握前一半,撑,奸日捕警撑
支持复习,翅,童冀滇当翅
入水则人浮,俘,的飨盼蚊俘
村后斜雁经庭前,府,倦饲盒快府
夜宴杯不空,案,舸刀臻蛙案
磨上添米,糜,野丙叠筏糜
百姓有盼头,眠,隧忘堡幸眠
一日到晚,免,起蒜料赦免
犬子成器,猛,笞澎澧婴猛
请足下担待,提,句吝肼黛提
话说春到人间,桧,购吼倔张桧
登上采石矶,凳,侦像政所凳
半数赤脚,肚,这婢拍受肚
一夜成名,口,栩敬叩缁口
没有心情发言,请,唱日荤姐请
束手就擒,禽,鸽脇炸茹禽
香烟头,秋,檩恢車洋秋
最先离去,取,上荒螅腿取
试题全密封,圈,冥拥差来圈
点滴积累可成金,全,邀看葑滉全
破解出一半,确,鳗骗歉铧确
旧时燕,鹊,镍滇召筛鹊
与君相伴下西洋,群,鉴溢福财群
若得西湖桥畔住,沐,左讣晖砍沐
多次调整工资,贡,肿死吴松贡
脱去金钩,勾,琼苒韵司勾
人都有点虚荣心,佗,淮铢莓鲈佗
短兵相接,比,痕冰便阔比
一同到前沿,洞,李巩粕粇洞
酒席散后又重逢,渡,媚饼谷太渡
语不惊人,评,气依弯聿评
病了之后且留下,疽,钦男夥椿疽
中国得一球,蝈,浙纺纭祥蝈
有水灌半缸,罐,瞬将咽氦罐
一心朝圣,怪,熔烛垡久怪
官居左相,棺,编活除荨棺
后辈斩仇人,轨,圄尽偷锄轨
嘴巴合拢,吧,愣旻窈泗吧
水落石出,泵,倥渴陕窈泵
一月二日离开昆明,比,天摆艽只比
二月上山,崩,吹碍衬洄崩
玉石白无瑕,碧,葆琳洪艘碧
偏不派人来,扁,鸿肢渠写扁
俩口同入京,禀,檩县辱禺禀
潭水清清,覃,辐亘夺哆覃
喜上心头,志,赳骇醉周志
蟾宫里面,肿,蓄啦宵玺肿
清水沟,勾,糔蚤瘤郊勾
天上星点点,关,讨树枝共关
超前领取,趣,群烂桌篑趣
隐藏树后,权,神剥羞咱权
三星聚水泊,泉,沸墅抗粇泉
来到苏北,莱,甾奎命斩莱
雨润苗心,蕾,尤奖拍的蕾
本利无一存,梨,厘野檎永梨
拆掉竹篱别靠近,离,冥箸懋盖离
层云化作雨水来,漏,泄枸苑壬漏
下岗之后雄心在,仙,郎拥酵皋仙
依例开除二人,裂,储啼筑湫裂
生火化掉一半雪,灵,豁鞋茑专灵
大雨一下就变小,零,业羚资慑零
别把刀丢掉,另,离眩墅呗另
汉高祖文武双全,刘,捺巫垮岁刘
初到东京,昨,裂舟岬躁昨
且待二人归来,俎,熄骞版唔俎
一点一滴凑起来,奏,谧跛逍徜奏
东拼西凑没有用,揍,富朔琳車揍
清除碎石,卒,桁泉氽串卒
村前足踪灭,棕,途昵鸠匏棕
这次让她也去,姿,叶琵淌玻姿
湘西到闽中,浊,竖潘评隙浊
远山在水一方,治,吗闱磐森治
前程有失,秩,淡厢杞直秩
阵前会云长,郑,简粒采拙郑
抵消后大小相等,捺,煲矼塌俅捺
红杉树,株,耗抒描望株
先喜后悲,志,乐彗物自志
一人比二人高,众,象裙姹黜众
二人齐出征,正,擂恍检剁正
横竖又相连,支,瞒殙府绢支
长安一片月,胀,毓爪旷跳胀
两个耳朵不一样,耶,韦恨岂昫耶
央求一多半,殃,锦兰羯管殃
见信未见人,言,沂手邵柳言
小霸王一去不复返,尘,蚴川程拼尘
一言以蔽之,韦,逑楼夹佣韦
获得硕果后,颗,景皛琵榇颗
永居西湖,泳,箦她改孟泳
留下共同复习,翼,佟僵羁衮翼
谈吐合宜,谊,卸粗颊俗谊
个人得失,佚,涟纪佶尤佚
吞下半壶豆,噎,愁卖树捡噎
村边放羊,样,汴雁浑疽样
两边碰掉脑袋,哑,死崔回疴哑
无一成句,旬,绷佣罡障旬
我邀二人来,徐,巴格札顽徐
名扬四方走天下,歹,罂盲峨变歹
三人同日到村前,椿,外靓来朝椿
迎春人相会,休,翔佟箱猎休
视而不见一笔钩,礼,阆通秃务礼
转业有点心牵挂,恋,晗厢姥隆恋
内中一人已古稀,辆,急啻渭犟辆
杯杯不落空,林,筛溅技趴林
人在水一方,洽,芬镰箕噎洽
岁岁除夕在京中,咄,疽产瘸扳咄
春节三日多云,会,拐诱址恁会
丢了那边有这边,随,器涢肤旬随
不见牛头马面,午,罕侏连烦午
除了骨头无油水,冑,不琦鳅状冑
为人不坏,食,掠煎柯虔食
不用言语心意到,悟,烛诵昧练悟
多心才愁,秋,肼逾仕畏秋
支援桂西,枝,剡逛昶宫枝
车队缺人 重新组建,阵,咄骏炉漓阵
第一门生,闸,柳气醢妃闸
西装一套,酉,销畗愿颚酉
引水入津,聿,视筝寇属聿
快语无心非我意,诀,彪绒浊慎诀
重阳佳节人团聚,畦,计罂婴愆畦
用掉一半添一半,拌,丁涌沂杵拌
放权之中厂变样,板,瞿遗租买板
四方归客心,备,寒闵巽戏备
独上西楼探幽竹,笨,哧囱蹲症笨
岭前月弄影,崩,先霁顽午崩
二人扯皮,彼,鄯除框小彼
为人不偏力无边,遍,昌抛你倒遍
乡下变化脱贫后,纷,说即遥爻纷
赠送钱财,曾,获霸孽兆曾
允许多一点,充,蒡访髓娱充
带头一游,川,封勋谧杢川
此人横竖要相见,什,扅昼箦纭什
码头对面山重山,础,右颖爷楷础
秦明先会两头蛇,蠢,戥肥增碧蠢
此字用心方悟得,五,倩撞隋粒五
后劲不小,夯,惶垭新伒夯
猜得出色获第一,狎,别弦暮讹狎
村头一点来聚会,术,消郓百之术
来日定会成明星,腥,官怡旺识腥
晴空一色海水清,晦,棣衍于氮晦
苏州话里有错,误,抨治枢佳误
去西方,兀,壮肛愁您兀
宫中相逢人相偎,喂,螟艰芕蚪喂
东魏虽亡西魏在,委,孤咔泉荣委
杠中有杠,枉,在宵溺缄枉
从此放宽心,林,亲陸淞横林
十八相送情心切,睛,怷敝者沙睛
一生为官受人使,史,坔料齐犄史
用心整容,蓉,裘滋冯非蓉
抽劳力植树,荣,给仕酤多荣
人手短缺,任,峨眠忝为任
埋头掏瓜瓤,壤,楮欣磨烂壤
上客且安坐,宜,辉蚁奠窟宜
村前纵橫又相连,枝,播近婀各枝
二人前面拉,扶,衔帼耿央扶
解国之围,玉,梗屑淆靓玉
半现妖态面三藏,耍,册谭敦羞耍
失去金钱权又空,栈,组迁舱马栈
提前退休,是,分札忘整是
采草药,约,永咕逛踪约
村寨之前巧相逢,宋,仨沂县菊宋
谷旁有人看守,俗,使爷刽夂俗
上台要稳别着急,私,参薑快电私
二人与我并肩站,徐,扏炎妃习徐
困难之中团结紧,休,啃停膜倦休
有点爱心姐先去,宜,毳骂纸孽宜
三点到宁波,涌,嗤杆窈檀涌
心上只有我 生怕别人强,忌,点或咒愿忌
人人要虚心,伦,诏捡耻诘伦
台下暗箭射上台,唉,囍蠲疼豫唉
得派二人去码头,碍,石秉鸡矗碍
本末倒置,未,攸傅忘铝未
分开是毛竹 合之著雄文,笔,笑阕嗦辜笔
小王和小白 同坐石头上,碧,述薇毳舟碧
四方卷入这一仗,便,胎期希柏便
用心擦掉衣上斑,表,叶菌滤恭表
北宋出兵,宾,拨娆才切宾
两省去一人,丙,他须移颜丙
公开隐私,并,民莘枢蚊并
一日犹春在,夫,怀裕草中夫
独自会客中,夏,茜泌绥坤夏
追捕得十分紧,搏,瘸忐骒适搏
卧掩花窗未解衣,补,隧萧捎盲补
一夜浅水清如许,残,闺半骨默残
左边一点就红 右边一点也红 两边都不加点 就成汗青之简,册,促鲨狄永册
四方借债 还说大话,吹,拗混芨笨吹
二十一日酉时,醋,判糖棉登醋
一步登天,大,漪原北铢大
除夕之后是初一,歹,方疟朊匕歹
妇女节南京相聚,当,忤霸普芸当
三八妇女节,旧,篙徊陆奸旧
酒后灯灭入醉乡,酊,取搏琅佯酊
两点独自乘扁舟,道,冠郁互梳道
堂下置木几,垛,披丢夭左垛
不言而化,讹,漏必疤跨讹
有客来临频让步,额,枣投戚豳额
进门方能听得见,耳,标滋嫩拳耳
三八前夕,萝,宓胀转白萝
辩论赛,皆,阿鲸每增皆
拉她也不来,接,擦业味舌接
花前柳畔保贞操,节,虚涢娠翻节
穷根定要去,劫,膝嫣娑彰劫
一周内到达江西,洁,打统瑟偕洁
一人走高跷,介,献洳漕驾介
两个小木偶,禁,渔灵垮雾禁
三明初会,晶,扫充翼发晶
客气话,警,减躁哟护警
为百姓目不能眠,民,氢躯当寓民
城头一轮明月隐,坦,棣铢筏怦坦
方至陕西伊人去,郡,芫休泓纸郡
草方配成香气浓,芳,檎寒脑咒芳
三八红旗手方到,妨,口玩澧菟妨
星临万户,房,颇绩趇便房
纯系地方话,访,怪胀斋慝访
激动无语泪先流,放,茗蛇栏正放
落月照川东,肥,朋裘色比肥
千人一口称活佛,沸,窖坦邦煮沸
着手装扮,分,鲳佶弼货分
一只狗张口叫不休,吠,籁丙惯备吠
古稀江边乘扁舟,涟,昼胜儫碧涟
亲手题诗默无言,持,柜阿腿孺持
先绕一周,绸,崔仇鼯利绸
独闻小贩吆喝声,读,瑭狎崛酒读
闽中奇才世无双,独,逾沃坡供独
陕西人,队,歉塘收穗队
丢掉上头 前功尽弃,劫,才因绩令劫
日光耀眼,晃,塑曳卖跺晃
梦游少林偶得句,够,汇侬烋荥够
一字有十口 历史很悠久,古,卸煜肕趟古
湖光水月鼓声扬,古,竿祟骥控古
船方离去又返回,般,介俯薤豺般
城头两人赏秋色,锉,谣茀熟告锉
分到江西,汾,字糕跕蓟汾
秋后梧桐半凋零,焚,钎颖嗔晤焚
内心转变 带头改革,愤,筮菼嘲理愤
二三个,奉,苫糖蹊汝奉
人要有一点雄心,伏,勋儒诃哟伏
腐肉已除,府,坤炮氢稳府
直到进城后 才知是广州,兰,衲赦懒娣兰
人来插一杠,栓,察渔撑俸栓
两点结冰,水,很萝次浮水
提前全到,拴,陕允礴驸拴
牟利一半,私,叙惕喉橙私
心牵四方,思,通巢顽召思
束在中间 吹散两边,嗽,漉妒须哧嗽
有点偏听偏信,诉,洳智湄欠诉
早上一别人再会,桌,房稽啻责桌
走西口,兀,匕妨项鞋兀
认得影后来看病,诊,阎邪朽会诊
拆除一点 增加三点,浙,柘冢都骚浙
一直一撇一点,真,侔佗愚术真
睁眼瞎,争,收裙条侮争
整改之后,政,艽毒翼钊政
义同手足成知音,肢,莽录廊漳肢
年初设计获批准,许,仅纸祟皎许
一气之下奔异乡,纥,沊胷醋偌纥
欢后消前嫌,歉,蚤唧习舒歉
家里杀猪贺生子,字,犄辽垛誊字
观察不到中间,宗,芹困急诲宗
抢先接旨,指,粤魂酬犟指
表面不心急 却又眉紧锁,皱,多希常朝皱
竹子,笋,驴讦弛咽笋
自古清明少有晴,湖,育璃誉屎湖
清净点点请莫言,静,岚趴彼迪静
十车兵器,载,兀尝舍准载
亲人去后室内空,宰,柳槎破俯宰
我们来自四方,咱,克鄯妪抨咱
句中改两点,匀,栽沸破娩匀
唯有东西夜雨声,预,词谷稍焦预
悉心看守无人偷,愈,泓考衷猎愈
对君倾心两相依,琵,寄铂弘喂琵
花开之后方闻香,芳,阿慑郊荑芳
利前不贪有后福,副,届孜伪予副
山东省一曰游,鱼,苹哆嫌债鱼
倾心明月下,旨,尼兰汞改旨
三水压倒山,当,灸盘犟耳当
西瓜里有子,孤,惜柴斌枯孤
一肚生下龙凤胎,好,洋亥妩垡好
三个十不出头,正,屎苒兑瞿正
一半满一半空,江,鱽皫辱杯江
早不说晚不说,许,祈杜驯仪许
七十二小时,晶,捡湖喂肪晶
天上无二合去一口家家都有,人,苬墅淀固人
头戴金冠称大王,主,隐爆锯瑰主
嘴巴不多却能闹,吵,妹境宓甥吵
一点一点大人人都有它,头,恐肛春胕头
双人同过独木桥,从,烛妯讹莫从
有人本领大能在云上飘,会,冐忝抛件会
偶尔多一人,你,涉怦湿睬你
一了百了,皖,玓氟粒拖皖
拿不出手,合,队虻够陆合
有心记不住有眼看不见,亡,乍绑蹲楠亡
愚公之家,寓,躺涔岚闺寓
八分之七,版,谔状揪芕版
路要自己走,起,街泽夾麋起
十八中有口,束,脌涸顷豺束
文武双全,斌,癌章帝犑斌
少小离家老大回,夭,胐堡朝泺夭
一二三四五六七九十,口,亿价整剡口
一加二不等于三,土,姻褚偷韩土
抓一半跑一半,抱,除痱豁淼抱
二画大二画小,秦,黟莺忖还秦
十二月,青,空如楂肘青
横山上面三根草,当,群圪怡副当
需要一半留下一半,雷,伪复坡旌雷
软一半硬一半,砍,国昫个菠砍
多少一半,夕,巡贱郁入夕
表里如一,回,白憩霁赫回
一字十三点难在如何点,汁,殡鹊痢奔汁
相见,规,明啊怕椎规
颠三倒四,泪,渭悉借榻泪
独留花下人有情却无心,倩,苏休鸾揪倩
房顶上盖草,芦,孩宓楷晖芦
建国方略,或,配桦妮肢或
书签,颊,旦彬轲吊颊
半朋半友,友,稳塔散夯友
人在白云上,会,槑访匕地会
四张嘴没头没尾,田,玛泉谨撞田
干涉,步,找伯嗽滂步
一阴一阳一短一长一昼一夜一热一凉,明,蚪啜懒庄明
家中添一口,豪,敷幼狗韭豪
天没有它大人有它大,一,恕炭牲脊一
依山傍水,汕,翻芨分坛汕
美好的开端,姜,滋畩巧床姜
抽水泵,石,瞐单廊墟石
不上不下,卡,苜臾务菖卡
绝色梅艳芳 香消花已谢,丰,含宵疟嘲丰
西湖之夜,液,打修丽胐液
一个病老头 女士人人求,瘦,粇蓦莽羚瘦
因为自大一点惹得人人讨厌,臭,卯噎法览臭
李字少了木 不作子字猜,一,门漫孕泾一
加减后得十分,寺,雪豁目伊寺
尖在上 不在下,小,憔姝呗漳小
转业之前留一手,挛,悸殚神珍挛
一撇歪了 一横直了,孕,糊架镇妒孕
燕山有只燕 头尾全不见 心口送猎人 翅膀在伸展,北,捏虑美万北
一对燕子天空飞 一只瘦来一只肥 一年四季来一次 一月倒要来三回,八,判启按恨八
波动舟留求剑痕,必,奻幽丰准必
不要不好意思,土,朊且寇名土
一来就当官,史,嚻知皑煮史
小虫有文化 到处嗡嗡飞,蚊,会戎爱鹦蚊
半个朋友,有,刀估虑踮有
老头耍滑头,嫂,渥闱世衲嫂
王白两先生 坐在石头上,碧,依饼绑浆碧
流水已逝去 孤树竟成荫,梳,崇尽衮高梳
日子变了,阳,铢送菊牲阳
千金之子,媳,隆呖蠢侔媳
会心的一笑,兑,谊侔斛琼兑
喜上眉头,声,钞馨荐汆声
山连丘 丘连山 石山土丘紧相连,岳,亡蒂恩弦岳
独眼龙,省,洵忙咕垫省
左看两点水 右看水两点细看不是水 敲敲硬邦邦,冰,互迹悬讽冰
来日是大暑,奢,胡佟普鹂奢
风吹草低见牛羊,蓄,烘亦启甜蓄
三十天除以二,胖,丈柚厅芕胖
舌头,千,野肚啐溽千
本市一游,柿,耳河蜗趣柿
僧人去尽寺半存,增,罡崔椎怂增
偏旁部首,位,起黯矧反位
方其中 圆其外,回,垛眩屡茄回
水流二道 相间三尺,渊,蒯箭吉麓渊
点点成金,全,辖机垮燮全
宝玉出走牵连下人,定,纺贝夭夯定
一别音容两渺茫,查,弼垦啭萃查
居心不正吕奉先,希,皮堤旷吞希
话说光武帝,诱,检难钱离诱
上下二十日 吃不到口里,乾,拖荒诘吠乾
生有一子号青莲,柏,李料声函柏
一旬少一天,万,妞努秚搜万
挑担有买卖,捏,板瑭籁成捏
上面有两个 底下有一对,竺,水衬供澧竺
借钱得把东西送,错,苦壕牡哧错
十个哥哥力量大 一切困难都不怕,克,邱拴霁参克
吕布桥边起芳心,秦,哔鸟解掱秦
古稀之年又重逢,轰,姐妾仫词轰
一字四笔八个头 内中有水不外流,井,乐肪酒隆井
西汉衰亡东汉兴,双,职醄耶榴双
吕雉半作无知状,唯,傅旭泞寨唯
左看三十一右看一十三,非,副语泼肥非
上面去下面 下面去上面 中间去两边 两边去中间,至,者痱妻韭至
女生一白遮百丑,妞,姝却嘉琳妞
灿灿火光相连岁岁除夕团聚,出,待呕咪崖出
林字多一半不当森字猜,梦,怜钰度氧梦
完颜阿骨打登基,键,瘦徊珏肖键
恻隐之心人有之,侧,戾店睡兹侧
有水不清洁,军,磐粮儆译军
如有人缘成姻缘,一,婪奏攸鞭一
狗吠声连户内外,润,现砖靳侨润
从来有过后无今天有明日无,人,烂刘兔培人
二,息,睹库因联息
小船儿轻轻飘荡在水中,心,靶来编冈心
可上又可下 老二喊老大,哥,呵傍葑本哥
如把泰山倒过来,仗,夯沼第浸仗
一个小朋友进门瞧一瞧,问,让正杠窈问
古竹参天,笑,珐砌文酆笑
一箭射中缺口,医,楫粮阅趾医
秋叶正离离,和,呜仝烫胄和
加一半减一半,喊,夯盖种聒喊
果儿在上头 苗儿在下头 鱼儿在中间 其实在里头,田,畀裤伟够田
人人动手,竿,世拖蒋郝竿
有心求偶无人理,愚,贷蚊勾兵愚
十字尾巴弯弯算算数目少三,七,岐栓哧颍七
春节二日人已去,一,箦陕崔击一
二十六不足 二十八有余,共,雇塑倒琥共
初听鹧鸪啼,鸣,栈高父阉鸣
半帘残月听蛩声,穹,唱皑外丙穹
入闽中已三周,蜡,纲摩轵吵蜡
七仙女下凡,几,旨弃霉俑几
从上至下 你说念啥,坐,塑筋羔或坐
云南昆明二日游,能,诛巧哇孴能
后村闺中听风声,封,头岬庙渠封
变相回扣不堪入目,操,盘补竞畩操
一日千里,量,专泌琪恪量
一生无邪 半尘不染,址,佣顷脆忤址
看颜色漂亮 见声音响亮,靓,黠酿阳盆靓
千里江陵一日还,皈,湘驭杀枪皈
没点良心人切齿,恨,吸鹅姑千恨
湖光水月鸟飞鸣,咕,邪日鲡嘴咕
真到长大才变美,兰,唧住飨骏兰
如今少女有派头,浛,蕴欢钨樱浛
您说此字不难猜 成双便是好伴侣,月,约宫卞船月
五双,支,羞饲依矩支
出手就打,丁,历奸块窜丁
天方夜谭,歼,废森跎咨歼
人生有变 爱心不变,牵,投盆歌残牵
学一段 会下段,尝,宁功孺虱尝
左边不亮右边亮 两者很少同时露面 合并起来亮堂堂,明,洱切奥忝明
此字不凡仅四笔 无横无直无钩曲 皇帝见了要起身 圣人见了要施礼,父,适串碎豉父
才始送春归,材,宰树缓省材
恻隐之心 人皆有之,侧,引爽醢悟侧
左边绿 右边红 左右相遇起凉风 绿的喜欢及时雨 红的最怕水来攻,秋,乡曹组眚秋
未来成果多,哆,嗅咔赳蚜哆
拘留三十天,捐,赠涸嗟仗捐
左边一个缺 右边一个多,价,篙欢甍给价
连日有雨,雷,吩斩嗽槊雷
小心一点走上来,寺,苏酿刀怙寺
见人就笑,竺,酝规汲舰竺
又添了一口,亟,嵊槿壮葛亟
视而不见 听而不闻,祈,棂嗟哥忌祈
别解方有味,未,琥祈龙斋未
四面密不透风中间常刮北风,图,巢伉驼盖图
海市蜃楼是幻景,觑,肮东欲邪觑
若不造反 未必会乱,举,志巷桧坦举
个个都到贵阳来,巩,割朵资略巩
客心点点寒意起,冬,产嫣华蕾冬
年终岁月不缺鱼米,鳞,団佚蜻迪鳞
上八是倒八 下八是正八 十字当中架 人人需要它,米,驮臭枚奎米
阢家杀猪,院,婵床墟妮院
春夜来雨报平安,泰,导碛卖括泰
再加一点点力,苏,借榴策三苏
两个连顶上一个师,筛,贪罪演袈筛
左边九加九右边九十九,柏,和滴俅超柏
同学少年多不贱,篑,买喂已氽篑
一个小锅炒豆豆,心,币计弟长心
一只大黑狗 不叫也不吼,默,恙摄渡撵默
听有看无古有今无叶有花无,口,渊谟姣坛口
又托一叶寄知音,吱,关象霜荆吱
对人要格外大方,徊,斗望仂匏徊
晴一半阴一半,明,尿学泠定明
花一半叶一半,华,站二潕尽华
一时差十分,旦,访蕴天柱旦
十一点 点十一,幸,聿廉崭扦幸
口中有十八,困,冷戒元缰困
上海居民,伸,蜃精绡叩伸
去村后割茅草,柔,檗橹憔醋柔
上面出头说原因 下面出头是冠军 上下出头是上海 都不出头在农村,田,颊动介腊田
一向上爬忘了本,未,畄身碛墟未
内乱到后来变心,恻,窜夷棉桁恻
